,Kinase,Control_Mean,Relative_Kinase_Activity,Relative_Inhibited_Kinase_Activity,Inhibitor_Mean
28,CDK1,1727881644524.0051,0.05237826196484816,0.05315740110832526,1772613133574.2368
32,CDK2,1291118397527.768,0.03913840850596806,0.03916923750428028,1306156873446.202
43,CK2A1,787498243436.2089,0.02387188348361812,0.023856469199280878,795529686208.2964
8,Akt1,367182644608.9068,0.011130616966284852,0.010647320471029943,355050843547.835
175,p90RSK,290864232901.0851,0.00881713341615742,0.007791740007762136,259827237283.65
124,PKACA,280976907047.0597,0.008517413267294665,0.008734948588282661,291279939685.776
55,ERK1,279016702110.0263,0.008457992456834578,0.009612016788412366,320527092070.48395
81,KIS,240130542632.0,0.007279214121870543,0.007133379016703447,237873204260.0
53,DYRK2,229052501439.69998,0.006943399139712135,0.006452408655214495,215165227925.9
155,SGK1,192550957541.05,0.005836907017115637,0.005174543245705704,172552892472.94
5,ATR,152857142967.43,0.004633645772510008,0.003299718037563859,110034038694.97
118,PAK1,148265055873.07703,0.0044944432168513545,0.005265584176495609,175588788627.497
35,CDK4,140512640202.436,0.004259439818242366,0.004853244845933084,161838716246.1392
56,ERK2,138960729400.25,0.004212395860804316,0.004732146506362202,157800510790.23404
27,CDC7,134510351948.711,0.004077489030386901,0.0043358248093224696,144584570382.21
38,CDK7,118493723603.6454,0.003591967838637356,0.0036553297848741107,121892444873.45999
173,mTOR,105367652663.2803,0.0031940697624221756,0.0019716815731407335,65748674293.789
174,p70S6K,103772463394.678,0.0031457138801433385,0.0019115588988155884,63743793695.56
37,CDK6,103749597703.00002,0.003145020739387713,0.0037155169853490453,123899477192.77
12,AurB,82702352764.61131,0.002507003597116987,0.0028602560768247196,95379521599.12799
115,P38D,78382235633.0,0.002376045422084865,0.002893297618139024,96481341268.0
46,Chk1,62781245084.502,0.001903123695964291,0.0019756845909725536,65882160917.188
36,CDK5,60661834343.050995,0.0018388767891355452,0.0024944593974179077,83181483609.78001
128,PKCD,58661881282.52,0.0017782510711334594,0.001452424070819326,48433255384.46001
126,PKCB,57931684836.67,0.0017561162097280254,0.00220337396506329,73474804020.0
63,GSK3B,57058055929.2309,0.0017296333982930359,0.0018149772509698158,60523134034.550995
69,HIPK2,56426355015.31,0.0017104842881339902,0.0012763110819923726,42560504074.600006
21,CAMK2A,54076062958.0,0.0016392385442707885,0.0022040580140469477,73497614657.6
89,MAPKAPK2,53053435079.1667,0.0016082390420190916,0.0017954096008435463,59870621442.065
16,BUB1,49686905268.3,0.0015061875034169654,0.00015468705199428264,5158271364.7
9,Akt2,42687189851.850006,0.001294001136993006,0.0015982722860498745,53296782502.71
153,RSK2,42636243724.024994,0.0012924567779579008,0.0006779013307892885,22605634910.1
30,CDK16,38897522831.0,0.0011791227987649796,0.001008680053849526,33635946712.0
132,PKCI,35503666966.47501,0.0010762429099100944,0.00106422278978158,35488102406.87999
96,MELK,35199722275.92,0.0010670292611192937,0.0008696487139738763,28999738509.5
125,PKCA,34546707716.437706,0.0010472340582639234,0.0012778760704432904,42612690957.7837
159,Src,34440720802.608,0.0010440212164845044,0.0009399584403067774,31344321610.2
7,Abl,31850201038.2,0.0009654933130975464,0.0011394217555076786,37995724515.9
113,P38A,29503804034.1,0.0008943656422042421,0.0009972921938757858,33256201469.91
62,GSK3A,29042348615.32,0.0008803772808563698,0.0009435554070021249,31464267850.465
114,P38B,27311813332.13,0.0008279185776288646,0.0008906016082015374,29698444140.699997
163,TBK1,25794927240.739998,0.0007819363442291068,0.0009533892338944182,31792191532.57
39,CDK9,24699608716.018394,0.0007487333289620376,0.0010263340423928584,34224645393.640003
142,PRKD1,23006239875.207,0.0006974012733040447,0.0006255227959641392,20858994238.949997
116,P38G,22996127054.0,0.0006970947175859129,0.0007490597229934141,24978518045.0
151,ROCK1,22645365105.510002,0.0006864618705483076,0.000652464956825594,21757420933.9
34,CDK3,18293950529.6,0.000554554958233454,0.0008207215545254881,27368189118.1
129,PKCE,16293435393.155,0.0004939122017035496,0.00041023301495028377,13679834133.44
3,ARAF,16100942330.955,0.00048807704970093375,0.000424050277169592,14140591431.0
13,BRAF,15937163853.955,0.0004831123392997922,0.00040742620973943894,13586237011.0
133,PKCT,15512685414.984999,0.0004702448822345108,0.0005009454111600196,16704774810.500002
149,RAF1,15354699436.955,0.00046545576315899236,0.00041520377874509787,13845591695.0
1,AMPKA1,13078808122.8287,0.0003964653714660075,0.0004563029577453932,15216105357.37
49,DAPK1,10843829799.18,0.0003287151985922876,0.0003481300198253818,11608916772.97
77,JNK1,10394223112.23,0.00031508601461151676,0.00037136814376996654,12383826810.800001
17,Brk,9737847866.78,0.00029518893736529573,0.00031921264905780797,10644623746.18
59,Fyn,9711057608.0,0.0002943768289683277,0.00031870595646523743,10627727323.0
48,Cot,8749413756.490002,0.00026522597032537247,0.00018785872803012612,6264430570.715
136,PKG1 iso2,8532802693.776,0.00025865971561500216,0.0004869634732706289,16238526156.149
47,Chk2,8319716343.16,0.00025220030751313936,0.00026349461741646287,8786622553.4
11,AurA,8090005171.431001,0.0002452369417252076,0.0002948976738811173,9833804491.625
140,PLK1,7812586723.891,0.00023682739807088252,0.00030978052561300506,10330095467.009998
107,NEK2,7593735628.0,0.00023019323995698536,0.0001947373094321484,6493807167.0
91,MEK1,6437425815.3,0.00019514136098479476,0.0005097051136829152,16996880207.199999
4,ATM,6292226465.296,0.00019073985025879227,0.0001677999861934418,5595541789.823998
134,PKCZ,5944764628.73,0.00018020704139649617,0.00019121951270567944,6376500967.89
130,PKCG,5556615764.37,0.0001684408634506641,0.00022816041395550736,7608350632.4
29,CDK14,5249396598.3,0.00015912795361564496,0.00021545574853473076,7184694541.0
98,MLK2,5142778321.46,0.0001558959729691322,0.00013360214664539898,4455163625.0
106,Myt1,4581525574.0,0.00013888239826734814,0.00010796845748134182,3600369878.0
158,SRPK1,4149984487.1,0.00012580084712645952,0.00013570804131634486,4525387836.0
0,AAK1,3953606786.0,0.00011984793784886602,9.668399964477232e-05,3224072735.0
86,LRRK2,3800725076.6,0.00011521354738007154,0.00012234802810324783,4079878191.2
162,TAK1,3582170228.1,0.00010858836958233282,9.060125080143452e-05,3021234367.0
78,JNK2,3449926648.22,0.00010457959450675054,0.00016840933095434044,5615861303.260001
23,CAMK2D iso8,3295934345.0,9.991153797394938e-05,7.960800483959166e-05,2654648120.0
85,LOK,3288750791.8780003,9.969377883028642e-05,0.000116000745201941,3868218538.9449997
67,HGK,3284887303.4,9.957666270011616e-05,0.00011573843264895614,3859471334.1
60,GRK2,3284887303.4,9.957666270011616e-05,0.00011573843264895614,3859471334.1
76,JAK2,3221101576.0,9.764308955871274e-05,6.384360248386228e-05,2128960519.1
154,Ret,3221101576.0,9.764308955871274e-05,6.384360248386228e-05,2128960519.1
160,Syk,3212251448.29,9.737481058886208e-05,0.00011297803819604397,3767421847.875
147,Pyk2,3187763331.0,9.663248832014276e-05,0.00011279701357996063,3761385311.0
40,CK1A,3135837954.75,9.505844476891617e-05,0.00012763453126760047,4256164554.7999997
90,MARK2,3128606673.142,9.483923880443026e-05,9.625388654436039e-05,3209729969.65
117,P70S6KB,3128052568.7,9.482244192038963e-05,0.00012381882597236053,4128924148.4
141,PLK3,3069265547.5,9.304039741155122e-05,0.000155772280642233,5194459938.900001
22,CAMK2B,2943186942.0,8.921850472117489e-05,0.0001373479278830189,4580072309.0
25,CAMK4,2943186942.0,8.921850472117489e-05,0.0001373479278830189,4580072309.0
54,EEF2K,2935668344.0,8.899058917099792e-05,0.00028183273433290035,9398134520.0
135,PKG1,2899699712.256,8.790025151854638e-05,0.00010822054150319399,3608775997.1590004
52,DYRK1A,2520369396.657,7.640139527186964e-05,6.52642553499189e-05,2176334316.09
71,IKKA,2442098414.0,7.40287223247108e-05,7.950739019428584e-05,2651292974.0
88,Lmr2,2276933503.0,6.902198415883253e-05,9.680207876301568e-05,3228010260.0
157,SMG1,2266478472.0,6.870505484003104e-05,6.091246604805352e-05,2031217385.8
171,Wee1,2263872120.944,6.862604703367104e-05,5.3091433803059125e-05,1770413355.006
66,HER2,2259068825.0,6.848044198366844e-05,5.283642986892752e-05,1761909867.0
26,CAMKK2,2028567587.7,6.149312648738804e-05,7.384390322622133e-05,2462435521.0
72,IKKB,1927259393.0,5.8422113389934693e-05,4.456689144162949e-05,1486149726.0
122,PDK1,1908043041.2,5.78395971558055e-05,6.730781234953219e-05,2244479784.1
92,MEK2,1468232594.8,4.4507372203116634e-05,2.94484042653441e-05,982001133.9000001
137,PKG2,1449872628.776,4.395081607954273e-05,3.927797887126846e-05,1309783017.149
120,PAK4,1241611696.946,3.7637683650012156e-05,7.732697232382116e-05,2578583675.327
164,TESK1,1174800464.0,3.5612396633085646e-05,3.697338680534578e-05,1232932944.0
83,LIMK2,1174800464.0,3.5612396633085646e-05,3.697338680534578e-05,1232932944.0
82,LIMK1,1174800464.0,3.5612396633085646e-05,3.697338680534578e-05,1232932944.0
51,DNAPK,1168977466.52,3.543588078873098e-05,4.972228240675773e-05,1658063957.0
165,TTK,1105817594.5,3.352127955848226e-05,4.038575611086831e-05,1346723507.9
64,GSK3B iso2,1098115556.0,3.3287803271784695e-05,0.0003937065577287474,13128734672.0
119,PAK2,1087046116.5,3.295224903763183e-05,3.488859838412847e-05,1163412552.5
2,AMPKA2,1078272979.1,3.2686303918967526e-05,5.7977963129734634e-05,1933361992.1
45,ChaK1,1054818875.4000001,3.19753262940575e-05,4.2069663984665915e-05,1402875937.3
14,BRSK1 iso2,1047857695.0,3.1764308061569584e-05,3.1784598749382864e-05,1059905037.0
102,MST4,937035108.4,2.840487977494296e-05,7.684485229265484e-06,256250666.1
65,GTF2F1,927103842.4,2.810382764336951e-05,5.812829908412159e-05,1938375169.6
20,CAMK1G,914519268.4,2.7722344272805898e-05,2.853311111753619e-05,951479313.4
18,CAMK1A,914519268.4,2.7722344272805898e-05,2.853311111753619e-05,951479313.4
19,CAMK1B,914519268.4,2.7722344272805898e-05,2.853311111753619e-05,951479313.4
172,YSK1,865902248.3,2.624858880881427e-05,3.0432779139425184e-05,1014826588.0
100,MSK2,791192596.5,2.398387251549374e-05,2.752475175439962e-05,917854060.6
99,MSK1,791192596.5,2.398387251549374e-05,2.752475175439962e-05,917854060.6
110,NLK,773121744.0,2.3436080455098378e-05,1.877704844377992e-05,626148795.6
167,ULK1,773121744.0,2.3436080455098378e-05,1.877704844377992e-05,626148795.6
10,Akt3,735149686.1,2.228501180272058e-05,1.6687607542917946e-05,556473260.2
108,NEK6,720742549.7,2.18482800584405e-05,2.1452895404402842e-05,715378919.1
79,JNK2 iso2,720742549.7,2.18482800584405e-05,2.1452895404402842e-05,715378919.1
75,IRAK1,720742549.7,2.18482800584405e-05,2.1452895404402842e-05,715378919.1
121,PBK,687382267.5999999,2.08370107966871e-05,3.075201623944143e-05,1025472027.1
168,VRK1,687382267.5999999,2.08370107966871e-05,3.075201623944143e-05,1025472027.1
58,ERK7,687382267.5999999,2.08370107966871e-05,3.075201623944143e-05,1025472027.1
131,PKCH,653619664.17,1.981354573895221e-05,1.8725518691088576e-05,624430458.8399999
41,CK1D,647714839.3,1.963454941424583e-05,1.6513282955112197e-05,550660145.8
97,MKK7,634442781.6,1.923222595810733e-05,2.096989769265978e-05,699272637.2
93,MEKK1,634442781.6,1.923222595810733e-05,2.096989769265978e-05,699272637.2
127,PKCB iso2,603232470.37,1.8286129989792484e-05,1.7011047456160926e-05,567258848.4
42,CK1G2,602637958.1,1.826810820021097e-05,1.8719722563892737e-05,624237178.3
80,KHS1,592711346.7,1.7967197166182546e-05,1.7011047456160926e-05,567258848.4
156,SGK3,592711346.7,1.7967197166182546e-05,1.7011047456160926e-05,567258848.4
44,CK2A2,527477098.4,1.5989714184425065e-05,1.3939893783901375e-05,464846630.7
73,IKKE,526714931.5053,1.5966610184566017e-05,6.609595454291692e-06,220406857.1
123,PIKFYVE,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
103,Mer,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
74,ILK,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
6,AXL,515837773.2,1.5636884679955386e-05,6.609595454291692e-06,220406857.1
150,RIPK2,502456576.5,1.5231252831051267e-05,2.9136320141477466e-05,971594221.5
152,ROCK2,489671429.0,1.48436893615645e-05,5.1520717919347514e-05,1718035482.0
166,Tyk2,322705177.2,9.782346124436487e-06,1.4524038385756352e-05,484325807.1
101,MST2,305073502.03,9.247867096975218e-06,5.628973781597863e-06,187706559.12
109,NEK9,271881815.1,8.241708556785567e-06,9.931750877043554e-07,33118910.4
15,BRSK2,219270512.4,6.6468721257916745e-06,6.030623515650695e-06,201100170.9
111,NME1,196602740.6,5.959731028331337e-06,9.38261670188532e-06,312877402.7
33,CDK20,118917113.7,3.604802304152089e-06,3.037150994582983e-06,101278347.5
143,PRKD2,99838890.28,3.026473234401514e-06,1.5750565945998582e-06,52522620.51
112,NuaK1,79798280.4444,2.4189707962391263e-06,1.473810845529286e-06,49146429.41
161,TAF1,76997307.07,2.3340632925186942e-06,5.493457820905117e-06,183187576.5
138,PKM,64575773.8,1.9575222686105615e-06,1.32486154052733e-06,44179491.81
68,HIPK1,58235940.83,1.7653392952174276e-06,3.964368451447681e-06,132197801.94
144,PRKD3,50387193.8,1.5274157491597263e-06,1.7144712349276515e-06,57171610.44
24,CAMK2G,50112936.8,1.5191020402681367e-06,1.9212271761566924e-06,64066196.88
31,CDK19,37769454.44,1.1449270181191703e-06,2.8908348878794413e-07,9639921.784
169,WNK1,31859689.58,9.65780944677892e-07,2.6500550268627584e-07,8837005.285
170,WNK2,31859689.58,9.65780944677892e-07,2.6500550268627584e-07,8837005.285
87,LYN,24488117.29,7.423222687193307e-07,1.8102461608334498e-07,6036536.875
61,GRK6,20002227.86,6.063389434409314e-07,3.121980899591915e-05,1041071277.0
95,MEKK3,16464064.434,4.990845771544458e-07,0.0,0.0
57,ERK5,13665602.88,4.142532156786734e-07,1.1305546960061565e-06,37700039.14
94,MEKK2,5444354.67,1.6503782885740511e-07,9.414072179501086e-08,3139263.327
146,Pim3,5394590.955,1.6352931297677484e-07,0.0,0.0
145,Pim1,5394590.955,1.6352931297677484e-07,0.0,0.0
70,IGF1R,5252806.508,1.5923132015357255e-07,0.0,0.0
148,QIK,3575548.26,1.083876340857993e-07,8.849359498599909e-07,29509514.28
50,DAPK3,3027317.713,9.176880877510595e-08,1.4258887437059555e-07,4754839.517
104,Mnk1,117591.1133,3.564606497606655e-09,0.0,0.0
105,Mnk2,117591.1133,3.564606497606655e-09,0.0,0.0
84,LKB1,111549.5244,3.381464366841504e-09,0.0,0.0
139,PKR,111549.5244,3.381464366841504e-09,0.0,0.0
